id,first_name,last_name,num_reviews,avg_review,img_problems,type,num_previous_clients,days_since_login,age,years_experience,score
569,John,Hernandez,2,4.87,1,2,0,2,33,14,37.1479
524,Claudia,Jacobs,3,4.99,0,2,0,7,49,13,36.8421
42,Mary,Watts,2,4.99,1,2,4,1,54,7,32.0288
258,James,Mifflin,2,4.76,1,2,2,5,43,9,31.4381
300,Charles,Lewis,1,4.89,3,2,0,2,35,12,30.338
561,Lori,Silva,2,4.99,4,2,0,0,41,12,29.1723
351,Terry,Cooper,1,3.75,1,2,1,5,53,13,28.2558
467,Sandra,Hall,1,4.23,3,2,3,5,37,11,27.2792
242,Matthew,Rome,3,3.22,0,2,1,5,36,14,27.048
382,David,Jones,3,4.04,1,2,1,14,41,13,26.9333
164,Sylvia,Wells,1,4.58,4,2,0,5,29,12,26.7754
501,Arnette,Blackwell,3,3.77,4,2,5,6,37,14,26.68
139,Suzanna,Phipps,3,3.92,1,2,0,3,42,11,26.6195
405,Patricia,Stewart,2,3.89,0,1,2,6,53,14,25.674
267,Stephanie,Baggett,1,4.58,5,2,5,0,46,9,25.648
413,Carol,Saleha,2,4.79,5,2,1,14,31,13,25.6099
284,Justina,Jones,1,4.46,2,1,4,6,42,12,24.8209
378,Frank,Senegal,2,4.52,1,2,0,3,37,6,24.387
599,Abraham,Sams,3,3.88,3,2,0,8,27,14,24.3801
75,Dana,Hawkins,2,4.2,3,1,4,0,26,14,24.0
246,Julio,Hackney,3,4.04,1,2,0,11,53,10,23.865
398,Vicki,Miller,1,3.65,0,2,2,2,20,7,23.725
124,Muriel,Freeman,2,4.73,4,2,1,14,21,10,23.65
158,Luis,Anastasiades,2,4.67,2,2,0,3,50,6,23.553
91,Jeanne,Smith,1,3.92,0,2,3,2,39,4,22.736
273,Yolanda,Silago,1,3.81,0,1,0,2,51,13,22.479
369,Robert,James,1,3.07,0,2,0,2,33,11,22.411
577,Annie,Bradwell,3,3.12,2,2,0,5,28,14,22.247
539,Janice,Clark,1,3.22,1,2,0,3,26,11,21.866
316,Gary,Laschinger,3,3.49,2,2,1,2,23,10,21.8504
135,Melissa,Walker,3,3.67,0,2,1,26,25,10,20.9714
320,Joshua,Phillips,1,2.95,1,2,0,0,24,12,20.8558
391,Alicia,Champagne,1,2.73,1,2,0,0,43,14,20.8242
57,Anne,Vance,1,3.93,7,2,0,6,47,13,20.3587
578,Jim,Gordon,1,3.66,3,2,2,5,32,8,20.3167
17,Larry,Moran,3,4.8,0,2,2,26,32,3,20.1905
525,Jana,Avila,2,4.17,6,2,0,5,24,10,20.131
117,Adam,Sowell,3,4.91,6,2,0,0,19,6,19.64
1,Velma,Snoke,3,4.57,3,2,5,11,36,2,19.17
3,Sandra,Sanchez,1,4.01,0,2,2,2,22,1,18.847
402,Johnny,Berrios,1,2.63,0,2,0,1,40,10,18.41
165,Jacqueline,Martinez,3,4.6,5,1,1,2,39,11,18.4
41,James,Morales,3,3.85,1,1,2,5,53,9,18.2651
